id,type,english,chinese,difficulty,topic,keywords
1,sentence,Where is the train station?,火車站在哪裡？,medium,Travel-常用3000單,station
2,sentence,Where is the bus station?,公車站在哪裡？,medium,Travel-常用3000單,station
3,sentence,Where is the airport?,機場在哪裡？,medium,Travel-常用3000單,airport
4,sentence,Where is the hotel?,飯店在哪裡？,medium,Travel-常用3000單,hotel
5,sentence,Where is the museum?,博物館在哪裡？,medium,Travel-常用3000單,museum
6,sentence,Where is the market?,市場在哪裡？,medium,Travel-常用3000單,market
7,sentence,Where is the park?,公園在哪裡？,medium,Travel-常用3000單,park
8,sentence,Where is the bank?,銀行在哪裡？,medium,Travel-常用3000單,bank
9,sentence,Where is the restroom?,洗手間在哪裡？,medium,Travel-常用3000單,restroom
10,sentence,Where is the exit?,出口在哪裡？,medium,Travel-常用3000單,exit
11,sentence,Where is the entrance?,入口在哪裡？,medium,Travel-常用3000單,entrance
12,sentence,Where is the ticket counter?,售票櫃檯在哪裡？,medium,Travel-常用3000單,ticket;counter
13,sentence,Where is the information desk?,服務台在哪裡？,medium,Travel-常用3000單,information
14,sentence,Where is the platform?,月台在哪裡？,medium,Travel-常用3000單,platform
15,sentence,Where is the gate?,登機門在哪裡？,medium,Travel-常用3000單,gate
16,sentence,Where is the city center?,市中心在哪裡？,medium,Travel-常用3000單,city
17,sentence,Where is the subway station?,地鐵站在哪裡？,medium,Travel-常用3000單,station
18,sentence,Where is the harbor?,港口在哪裡？,medium,Travel-常用3000單,harbor
19,sentence,Where is the avenue?,大街在哪裡？,medium,Travel-常用3000單,avenue
20,sentence,Where is the bridge?,橋在哪裡？,medium,Travel-常用3000單,bridge
21,sentence,I need the train station.,我需要火車站。,medium,Travel-常用3000單,station
22,sentence,I need the bus station.,我需要公車站。,medium,Travel-常用3000單,station
23,sentence,I need the airport.,我需要機場。,medium,Travel-常用3000單,airport
24,sentence,I need the hotel.,我需要飯店。,medium,Travel-常用3000單,hotel
25,sentence,I need the museum.,我需要博物館。,medium,Travel-常用3000單,museum
26,sentence,I need the market.,我需要市場。,medium,Travel-常用3000單,market
27,sentence,I need the park.,我需要公園。,medium,Travel-常用3000單,park
28,sentence,I need the bank.,我需要銀行。,medium,Travel-常用3000單,bank
29,sentence,I need the restroom.,我需要洗手間。,medium,Travel-常用3000單,restroom
30,sentence,I need the exit.,我需要出口。,medium,Travel-常用3000單,exit
31,sentence,I need the entrance.,我需要入口。,medium,Travel-常用3000單,entrance
32,sentence,I need the ticket counter.,我需要售票櫃檯。,medium,Travel-常用3000單,ticket;counter
33,sentence,I need the information desk.,我需要服務台。,medium,Travel-常用3000單,information
34,sentence,I need the platform.,我需要月台。,medium,Travel-常用3000單,platform
35,sentence,I need the gate.,我需要登機門。,medium,Travel-常用3000單,gate
36,sentence,I need the city center.,我需要市中心。,medium,Travel-常用3000單,city
37,sentence,I need the subway station.,我需要地鐵站。,medium,Travel-常用3000單,station
38,sentence,I need the harbor.,我需要港口。,medium,Travel-常用3000單,harbor
39,sentence,I need the avenue.,我需要大街。,medium,Travel-常用3000單,avenue
40,sentence,I need the bridge.,我需要橋。,medium,Travel-常用3000單,bridge
41,sentence,This train station is nearby.,這個火車站在附近。,medium,Travel-常用3000單,station
42,sentence,This bus station is nearby.,這個公車站在附近。,medium,Travel-常用3000單,station
43,sentence,This airport is nearby.,這個機場在附近。,medium,Travel-常用3000單,airport
44,sentence,This hotel is nearby.,這個飯店在附近。,medium,Travel-常用3000單,hotel
45,sentence,This museum is nearby.,這個博物館在附近。,medium,Travel-常用3000單,museum
46,sentence,This market is nearby.,這個市場在附近。,medium,Travel-常用3000單,market
47,sentence,This park is nearby.,這個公園在附近。,medium,Travel-常用3000單,park
48,sentence,This bank is nearby.,這個銀行在附近。,medium,Travel-常用3000單,bank
49,sentence,This restroom is nearby.,這個洗手間在附近。,medium,Travel-常用3000單,restroom
50,sentence,This exit is nearby.,這個出口在附近。,medium,Travel-常用3000單,exit
51,sentence,This entrance is nearby.,這個入口在附近。,medium,Travel-常用3000單,entrance
52,sentence,This ticket counter is nearby.,這個售票櫃檯在附近。,medium,Travel-常用3000單,ticket;counter
53,sentence,This information desk is nearby.,這個服務台在附近。,medium,Travel-常用3000單,information
54,sentence,This platform is nearby.,這個月台在附近。,medium,Travel-常用3000單,platform
55,sentence,This gate is nearby.,這個登機門在附近。,medium,Travel-常用3000單,gate
56,sentence,This city center is nearby.,這個市中心在附近。,medium,Travel-常用3000單,city
57,sentence,This subway station is nearby.,這個地鐵站在附近。,medium,Travel-常用3000單,station
58,sentence,This harbor is nearby.,這個港口在附近。,medium,Travel-常用3000單,harbor
59,sentence,This avenue is nearby.,這個大街在附近。,medium,Travel-常用3000單,avenue
60,sentence,This bridge is nearby.,這個橋在附近。,medium,Travel-常用3000單,bridge
61,sentence,Please show me the train station.,請告訴我火車站在哪裡。,medium,Travel-常用3000單,station
62,sentence,Please show me the bus station.,請告訴我公車站在哪裡。,medium,Travel-常用3000單,station
63,sentence,Please show me the airport.,請告訴我機場在哪裡。,medium,Travel-常用3000單,airport
64,sentence,Please show me the hotel.,請告訴我飯店在哪裡。,medium,Travel-常用3000單,hotel
65,sentence,Please show me the museum.,請告訴我博物館在哪裡。,medium,Travel-常用3000單,museum
66,sentence,Please show me the market.,請告訴我市場在哪裡。,medium,Travel-常用3000單,market
67,sentence,Please show me the park.,請告訴我公園在哪裡。,medium,Travel-常用3000單,park
68,sentence,Please show me the bank.,請告訴我銀行在哪裡。,medium,Travel-常用3000單,bank
69,sentence,Please show me the restroom.,請告訴我洗手間在哪裡。,medium,Travel-常用3000單,restroom
70,sentence,Please show me the exit.,請告訴我出口在哪裡。,medium,Travel-常用3000單,exit
71,sentence,Please show me the entrance.,請告訴我入口在哪裡。,medium,Travel-常用3000單,entrance
72,sentence,Please show me the ticket counter.,請告訴我售票櫃檯在哪裡。,medium,Travel-常用3000單,ticket;counter
73,sentence,Please show me the information desk.,請告訴我服務台在哪裡。,medium,Travel-常用3000單,information
74,sentence,Please show me the platform.,請告訴我月台在哪裡。,medium,Travel-常用3000單,platform
75,sentence,Please show me the gate.,請告訴我登機門在哪裡。,medium,Travel-常用3000單,gate
76,sentence,Please show me the city center.,請告訴我市中心在哪裡。,medium,Travel-常用3000單,city
77,sentence,Please show me the subway station.,請告訴我地鐵站在哪裡。,medium,Travel-常用3000單,station
78,sentence,Please show me the harbor.,請告訴我港口在哪裡。,medium,Travel-常用3000單,harbor
79,sentence,Please show me the avenue.,請告訴我大街在哪裡。,medium,Travel-常用3000單,avenue
80,sentence,Please show me the bridge.,請告訴我橋在哪裡。,medium,Travel-常用3000單,bridge
81,sentence,Is this the train station?,這是火車站嗎？,medium,Travel-常用3000單,station
82,sentence,Is this the bus station?,這是公車站嗎？,medium,Travel-常用3000單,station
83,sentence,Is this the airport?,這是機場嗎？,medium,Travel-常用3000單,airport
84,sentence,Is this the hotel?,這是飯店嗎？,medium,Travel-常用3000單,hotel
85,sentence,Is this the museum?,這是博物館嗎？,medium,Travel-常用3000單,museum
86,sentence,Is this the market?,這是市場嗎？,medium,Travel-常用3000單,market
87,sentence,Is this the park?,這是公園嗎？,medium,Travel-常用3000單,park
88,sentence,Is this the bank?,這是銀行嗎？,medium,Travel-常用3000單,bank
89,sentence,Is this the restroom?,這是洗手間嗎？,medium,Travel-常用3000單,restroom
90,sentence,Is this the exit?,這是出口嗎？,medium,Travel-常用3000單,exit
91,sentence,Is this the entrance?,這是入口嗎？,medium,Travel-常用3000單,entrance
92,sentence,Is this the ticket counter?,這是售票櫃檯嗎？,medium,Travel-常用3000單,ticket;counter
93,sentence,Is this the information desk?,這是服務台嗎？,medium,Travel-常用3000單,information
94,sentence,Is this the platform?,這是月台嗎？,medium,Travel-常用3000單,platform
95,sentence,Is this the gate?,這是登機門嗎？,medium,Travel-常用3000單,gate
96,sentence,Is this the city center?,這是市中心嗎？,medium,Travel-常用3000單,city
97,sentence,Is this the subway station?,這是地鐵站嗎？,medium,Travel-常用3000單,station
98,sentence,Is this the harbor?,這是港口嗎？,medium,Travel-常用3000單,harbor
99,sentence,Is this the avenue?,這是大街嗎？,medium,Travel-常用3000單,avenue
100,sentence,Is this the bridge?,這是橋嗎？,medium,Travel-常用3000單,bridge
101,sentence,I would like to find the train station before noon.,我想在中午前找到火車站。,medium,Travel-常用3000單,station
102,sentence,I would like to find the airport before noon.,我想在中午前找到機場。,medium,Travel-常用3000單,airport
103,sentence,I would like to find the hotel before noon.,我想在中午前找到飯店。,medium,Travel-常用3000單,hotel
