id,type,english,chinese,difficulty,topic,keywords
1,sentence,May I see the menu?,我可以看菜單嗎？,medium,Restaurant-常用3000單,menu
2,sentence,I need a table.,我需要一張桌子。,medium,Restaurant-常用3000單,table
3,sentence,This table is clean.,這張桌子很乾淨。,medium,Restaurant-常用3000單,table
4,sentence,The chair is comfortable.,這張椅子很舒服。,medium,Restaurant-常用3000單,chair
5,sentence,The soup is hot.,這碗湯很熱。,medium,Restaurant-常用3000單,soup
6,sentence,The soup is salty.,這碗湯很鹹。,medium,Restaurant-常用3000單,soup
7,sentence,The dessert is sweet.,這份甜點很甜。,medium,Restaurant-常用3000單,dessert
8,sentence,The coffee is cold.,這杯咖啡冷了。,medium,Restaurant-常用3000單,coffee
9,sentence,The tea is warm.,這杯茶是溫的。,medium,Restaurant-常用3000單,tea
10,sentence,The rice is ready.,飯準備好了。,medium,Restaurant-常用3000單,rice
11,sentence,The fish tastes fresh.,這條魚吃起來很新鮮。,medium,Restaurant-常用3000單,fish
12,sentence,The chicken smells good.,這份雞肉聞起來很香。,medium,Restaurant-常用3000單,chicken
13,sentence,The salad looks fresh.,這份沙拉看起來很新鮮。,medium,Restaurant-常用3000單,salad
14,sentence,Please bring some water.,請拿一些水來。,medium,Restaurant-常用3000單,water
15,sentence,Please bring the bill.,請拿帳單來。,medium,Restaurant-常用3000單,bill
16,sentence,I want more rice.,我想要更多飯。,medium,Restaurant-常用3000單,rice
17,sentence,I want more soup.,我想要更多湯。,medium,Restaurant-常用3000單,soup
18,sentence,I want some dessert.,我想要一些甜點。,medium,Restaurant-常用3000單,dessert
19,sentence,Can I order now?,我現在可以點餐嗎？,medium,Restaurant-常用3000單,order
20,sentence,Can we sit here?,我們可以坐這裡嗎？,medium,Restaurant-常用3000單,sit
21,sentence,This meal is delicious.,這餐很好吃。,medium,Restaurant-常用3000單,meal
22,sentence,This dish is simple.,這道菜很簡單。,medium,Restaurant-常用3000單,dish
23,sentence,This dish is spicy.,這道菜很辣。,medium,Restaurant-常用3000單,dish
24,sentence,This food is healthy.,這些食物很健康。,medium,Restaurant-常用3000單,food
25,sentence,The cook is busy.,廚師很忙。,medium,Restaurant-常用3000單,cook
26,sentence,The chef is friendly.,主廚很友善。,medium,Restaurant-常用3000單,chef
27,sentence,The service is quick.,服務很快速。,medium,Restaurant-常用3000單,service
28,sentence,The customer is hungry.,顧客餓了。,medium,Restaurant-常用3000單,customer
29,sentence,My appetite is good.,我的食慾很好。,medium,Restaurant-常用3000單,appetite
30,sentence,This restaurant is quiet.,這家餐廳很安靜。,medium,Restaurant-常用3000單,restaurant
31,sentence,This restaurant is crowded.,這家餐廳很擁擠。,medium,Restaurant-常用3000單,restaurant
32,sentence,The kitchen is clean.,廚房很乾淨。,medium,Restaurant-常用3000單,kitchen
33,sentence,The counter is over there.,櫃檯在那邊。,medium,Restaurant-常用3000單,counter
34,sentence,Please wait a minute.,請等一下。,medium,Restaurant-常用3000單,wait
35,sentence,I need a fork.,我需要一支叉子。,medium,Restaurant-常用3000單,fork
36,sentence,I need a spoon.,我需要一支湯匙。,medium,Restaurant-常用3000單,spoon
37,sentence,I need a knife.,我需要一把刀。,medium,Restaurant-常用3000單,knife
38,sentence,The plate is clean.,盤子很乾淨。,medium,Restaurant-常用3000單,plate
39,sentence,The glass is empty.,杯子空了。,medium,Restaurant-常用3000單,glass
40,sentence,The bottle is full.,瓶子是滿的。,medium,Restaurant-常用3000單,bottle
41,sentence,This bread is fresh.,這個麵包很新鮮。,medium,Restaurant-常用3000單,bread
42,sentence,The butter is soft.,奶油很軟。,medium,Restaurant-常用3000單,butter
43,sentence,The cake is beautiful.,蛋糕很漂亮。,medium,Restaurant-常用3000單,cake
44,sentence,The fruit is fresh.,水果很新鮮。,medium,Restaurant-常用3000單,fruit
45,sentence,The juice is cold.,果汁很冰。,medium,Restaurant-常用3000單,juice
46,sentence,The milk is warm.,牛奶是溫的。,medium,Restaurant-常用3000單,milk
47,sentence,The egg is small.,這顆蛋很小。,medium,Restaurant-常用3000單,egg
48,sentence,The beef is tender.,牛肉很嫩。,medium,Restaurant-常用3000單,beef
49,sentence,The pork is salty.,豬肉很鹹。,medium,Restaurant-常用3000單,pork
50,sentence,The vegetable is fresh.,蔬菜很新鮮。,medium,Restaurant-常用3000單,vegetable
51,sentence,I like this taste.,我喜歡這個味道。,medium,Restaurant-常用3000單,taste
52,sentence,I dislike this smell.,我不喜歡這個味道。,medium,Restaurant-常用3000單,smell
53,sentence,Please lower the price.,請降低價格。,medium,Restaurant-常用3000單,price
54,sentence,The price is fair.,價格很合理。,medium,Restaurant-常用3000單,price
55,sentence,This bill is correct.,這張帳單是正確的。,medium,Restaurant-常用3000單,bill
56,sentence,This bill is wrong.,這張帳單是錯的。,medium,Restaurant-常用3000單,bill
57,sentence,Can I pay now?,我現在可以付款嗎？,medium,Restaurant-常用3000單,pay
58,sentence,I will pay cash.,我會付現金。,medium,Restaurant-常用3000單,cash
59,sentence,I will use credit.,我會使用信用付款。,medium,Restaurant-常用3000單,credit
60,sentence,Please check the account.,請檢查帳目。,medium,Restaurant-常用3000單,account
