id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
1,sentence,This is my family.,This is my family.,這是我的家人。,beginner,七上 複習1-2-國中2000單字,family,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
2,sentence,This is my father.,This is my father.,這是我的爸爸。,beginner,七上 複習1-2-國中2000單字,father,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
3,sentence,This is my mother.,This is my mother.,這是我的媽媽。,beginner,七上 複習1-2-國中2000單字,mother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
4,sentence,This is my sister.,This is my sister.,這是我的姊妹。,beginner,七上 複習1-2-國中2000單字,sister,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
5,sentence,This is my brother.,This is my brother.,這是我的兄弟。,beginner,七上 複習1-2-國中2000單字,brother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
6,sentence,He is my grandfather.,He is my grandfather.,他是我的祖父。,beginner,七上 複習1-2-國中2000單字,grandfather,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
7,sentence,She is my grandmother.,She is my grandmother.,她是我的祖母。,beginner,七上 複習1-2-國中2000單字,grandmother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
8,sentence,He is my uncle.,He is my uncle.,他是我的叔叔。,beginner,七上 複習1-2-國中2000單字,uncle,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
9,sentence,She is my aunt.,She is my aunt.,她是我的阿姨。,beginner,七上 複習1-2-國中2000單字,aunt,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
10,sentence,He is my cousin.,He is my cousin.,他是我的堂表兄弟。,beginner,七上 複習1-2-國中2000單字,cousin,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
11,sentence,She is my cousin.,She is my cousin.,她是我的堂表姊妹。,beginner,七上 複習1-2-國中2000單字,cousin,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
12,sentence,He is my son.,He is my son.,他是我的兒子。,beginner,七上 複習1-2-國中2000單字,son,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
13,sentence,She is my daughter.,She is my daughter.,她是我的女兒。,beginner,七上 複習1-2-國中2000單字,daughter,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
14,sentence,He is my parent.,He is my parent.,他是我的雙親之一。,beginner,七上 複習1-2-國中2000單字,parent,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
