id,type,english,chinese,difficulty,topic,keywords
1,sentence,My father is kind.,我爸爸很親切。,medium,Family-常用3000單,father;kind
2,sentence,My father helps me at home.,我爸爸在家幫助我。,medium,Family-常用3000單,father;help;home
3,sentence,My father cooks dinner for us.,我爸爸為我們煮晚餐。,medium,Family-常用3000單,father;cook;dinner
4,sentence,My father talks with me every day.,我爸爸每天和我說話。,medium,Family-常用3000單,father;talk;day
5,sentence,My father keeps the house clean.,我爸爸保持家裡乾淨。,medium,Family-常用3000單,father;house;clean
6,sentence,My mother is kind.,我媽媽很親切。,medium,Family-常用3000單,mother;kind
7,sentence,My mother helps me at home.,我媽媽在家幫助我。,medium,Family-常用3000單,mother;help;home
8,sentence,My mother cooks dinner for us.,我媽媽為我們煮晚餐。,medium,Family-常用3000單,mother;cook;dinner
9,sentence,My mother talks with me every day.,我媽媽每天和我說話。,medium,Family-常用3000單,mother;talk;day
10,sentence,My mother keeps the house clean.,我媽媽保持家裡乾淨。,medium,Family-常用3000單,mother;house;clean
11,sentence,My older brother is kind.,我哥哥很親切。,medium,Family-常用3000單,brother;kind
12,sentence,My older brother helps me at home.,我哥哥在家幫助我。,medium,Family-常用3000單,brother;help;home
13,sentence,My older brother cooks dinner for us.,我哥哥為我們煮晚餐。,medium,Family-常用3000單,brother;cook;dinner
14,sentence,My older brother talks with me every day.,我哥哥每天和我說話。,medium,Family-常用3000單,brother;talk;day
15,sentence,My older brother keeps the house clean.,我哥哥保持家裡乾淨。,medium,Family-常用3000單,brother;house;clean
16,sentence,My younger sister is kind.,我妹妹很親切。,medium,Family-常用3000單,sister;kind
17,sentence,My younger sister helps me at home.,我妹妹在家幫助我。,medium,Family-常用3000單,sister;help;home
18,sentence,My younger sister cooks dinner for us.,我妹妹為我們煮晚餐。,medium,Family-常用3000單,sister;cook;dinner
19,sentence,My younger sister talks with me every day.,我妹妹每天和我說話。,medium,Family-常用3000單,sister;talk;day
20,sentence,My younger sister keeps the house clean.,我妹妹保持家裡乾淨。,medium,Family-常用3000單,sister;house;clean
21,sentence,My grandmother is kind.,我奶奶很親切。,medium,Family-常用3000單,grandmother;kind
22,sentence,My grandmother helps me at home.,我奶奶在家幫助我。,medium,Family-常用3000單,grandmother;help;home
23,sentence,My grandmother cooks dinner for us.,我奶奶為我們煮晚餐。,medium,Family-常用3000單,grandmother;cook;dinner
24,sentence,My grandmother talks with me every day.,我奶奶每天和我說話。,medium,Family-常用3000單,grandmother;talk;day
25,sentence,My grandmother keeps the house clean.,我奶奶保持家裡乾淨。,medium,Family-常用3000單,grandmother;house;clean
26,sentence,My grandfather is kind.,我爺爺很親切。,medium,Family-常用3000單,grandfather;kind
27,sentence,My grandfather helps me at home.,我爺爺在家幫助我。,medium,Family-常用3000單,grandfather;help;home
28,sentence,My grandfather cooks dinner for us.,我爺爺為我們煮晚餐。,medium,Family-常用3000單,grandfather;cook;dinner
29,sentence,My grandfather talks with me every day.,我爺爺每天和我說話。,medium,Family-常用3000單,grandfather;talk;day
30,sentence,My grandfather keeps the house clean.,我爺爺保持家裡乾淨。,medium,Family-常用3000單,grandfather;house;clean
31,sentence,My uncle is kind.,我叔叔很親切。,medium,Family-常用3000單,uncle;kind
32,sentence,My uncle helps me at home.,我叔叔在家幫助我。,medium,Family-常用3000單,uncle;help;home
33,sentence,My uncle cooks dinner for us.,我叔叔為我們煮晚餐。,medium,Family-常用3000單,uncle;cook;dinner
34,sentence,My uncle talks with me every day.,我叔叔每天和我說話。,medium,Family-常用3000單,uncle;talk;day
35,sentence,My uncle keeps the house clean.,我叔叔保持家裡乾淨。,medium,Family-常用3000單,uncle;house;clean
36,sentence,My aunt is kind.,我阿姨很親切。,medium,Family-常用3000單,aunt;kind
37,sentence,My aunt helps me at home.,我阿姨在家幫助我。,medium,Family-常用3000單,aunt;help;home
38,sentence,My aunt cooks dinner for us.,我阿姨為我們煮晚餐。,medium,Family-常用3000單,aunt;cook;dinner
39,sentence,My aunt talks with me every day.,我阿姨每天和我說話。,medium,Family-常用3000單,aunt;talk;day
40,sentence,My aunt keeps the house clean.,我阿姨保持家裡乾淨。,medium,Family-常用3000單,aunt;house;clean
41,sentence,My cousin is kind.,我表親很親切。,medium,Family-常用3000單,cousin;kind
42,sentence,My cousin helps me at home.,我表親在家幫助我。,medium,Family-常用3000單,cousin;help;home
43,sentence,My cousin cooks dinner for us.,我表親為我們煮晚餐。,medium,Family-常用3000單,cousin;cook;dinner
44,sentence,My cousin talks with me every day.,我表親每天和我說話。,medium,Family-常用3000單,cousin;talk;day
45,sentence,My cousin keeps the house clean.,我表親保持家裡乾淨。,medium,Family-常用3000單,cousin;house;clean
46,sentence,My son is kind.,我兒子很親切。,medium,Family-常用3000單,son;kind
47,sentence,My son helps me at home.,我兒子在家幫助我。,medium,Family-常用3000單,son;help;home
48,sentence,My son cooks dinner for us.,我兒子為我們煮晚餐。,medium,Family-常用3000單,son;cook;dinner
49,sentence,My son talks with me every day.,我兒子每天和我說話。,medium,Family-常用3000單,son;talk;day
50,sentence,My son keeps the house clean.,我兒子保持家裡乾淨。,medium,Family-常用3000單,son;house;clean
51,sentence,My daughter is kind.,我女兒很親切。,medium,Family-常用3000單,daughter;kind
52,sentence,My daughter helps me at home.,我女兒在家幫助我。,medium,Family-常用3000單,daughter;help;home
53,sentence,My daughter cooks dinner for us.,我女兒為我們煮晚餐。,medium,Family-常用3000單,daughter;cook;dinner
54,sentence,My daughter talks with me every day.,我女兒每天和我說話。,medium,Family-常用3000單,daughter;talk;day
55,sentence,My daughter keeps the house clean.,我女兒保持家裡乾淨。,medium,Family-常用3000單,daughter;house;clean
56,sentence,My wife is kind.,我太太很親切。,medium,Family-常用3000單,wife;kind
57,sentence,My wife helps me at home.,我太太在家幫助我。,medium,Family-常用3000單,wife;help;home
58,sentence,My wife cooks dinner for us.,我太太為我們煮晚餐。,medium,Family-常用3000單,wife;cook;dinner
59,sentence,My wife talks with me every day.,我太太每天和我說話。,medium,Family-常用3000單,wife;talk;day
60,sentence,My wife keeps the house clean.,我太太保持家裡乾淨。,medium,Family-常用3000單,wife;house;clean
61,sentence,My husband is kind.,我先生很親切。,medium,Family-常用3000單,husband;kind
62,sentence,My husband helps me at home.,我先生在家幫助我。,medium,Family-常用3000單,husband;help;home
63,sentence,My husband cooks dinner for us.,我先生為我們煮晚餐。,medium,Family-常用3000單,husband;cook;dinner
64,sentence,My husband talks with me every day.,我先生每天和我說話。,medium,Family-常用3000單,husband;talk;day
65,sentence,My husband keeps the house clean.,我先生保持家裡乾淨。,medium,Family-常用3000單,husband;house;clean
66,sentence,My parents are kind.,我父母很親切。,medium,Family-常用3000單,parents;kind
67,sentence,My parents help me at home.,我父母在家幫助我。,medium,Family-常用3000單,parents;help;home
68,sentence,My parents cook dinner for us.,我父母為我們煮晚餐。,medium,Family-常用3000單,parents;cook;dinner
69,sentence,My parents talk with me every day.,我父母每天和我說話。,medium,Family-常用3000單,parents;talk;day
70,sentence,My parents keep the house clean.,我父母保持家裡乾淨。,medium,Family-常用3000單,parents;house;clean
71,sentence,My children are kind.,我的孩子們很親切。,medium,Family-常用3000單,children;kind
72,sentence,My children help me at home.,我的孩子們在家幫助我。,medium,Family-常用3000單,children;help;home
73,sentence,My children cook dinner for us.,我的孩子們為我們煮晚餐。,medium,Family-常用3000單,children;cook;dinner
74,sentence,My children talk with me every day.,我的孩子們每天和我說話。,medium,Family-常用3000單,children;talk;day
75,sentence,My children keep the house clean.,我的孩子們保持家裡乾淨。,medium,Family-常用3000單,children;house;clean
76,sentence,My grandparents are kind.,我的祖父母很親切。,medium,Family-常用3000單,grandparents;kind
77,sentence,My grandparents help me at home.,我的祖父母在家幫助我。,medium,Family-常用3000單,grandparents;help;home
78,sentence,My grandparents cook dinner for us.,我的祖父母為我們煮晚餐。,medium,Family-常用3000單,grandparents;cook;dinner
79,sentence,My grandparents talk with me every day.,我的祖父母每天和我說話。,medium,Family-常用3000單,grandparents;talk;day
80,sentence,My grandparents keep the house clean.,我的祖父母保持家裡乾淨。,medium,Family-常用3000單,grandparents;house;clean
81,sentence,My family is kind.,我的家人很親切。,medium,Family-常用3000單,family;kind
82,sentence,My family helps me at home.,我的家人在家幫助我。,medium,Family-常用3000單,family;help;home
83,sentence,My family cooks dinner for us.,我的家人為我們煮晚餐。,medium,Family-常用3000單,family;cook;dinner
84,sentence,My family talks with me every day.,我的家人每天和我說話。,medium,Family-常用3000單,family;talk;day
85,sentence,My family keeps the house clean.,我的家人保持家裡乾淨。,medium,Family-常用3000單,family;house;clean
86,sentence,My brother is kind.,我兄弟很親切。,medium,Family-常用3000單,brother;kind
87,sentence,My brother helps me at home.,我兄弟在家幫助我。,medium,Family-常用3000單,brother;help;home
88,sentence,My brother cooks dinner for us.,我兄弟為我們煮晚餐。,medium,Family-常用3000單,brother;cook;dinner
89,sentence,My brother talks with me every day.,我兄弟每天和我說話。,medium,Family-常用3000單,brother;talk;day
90,sentence,My brother keeps the house clean.,我兄弟保持家裡乾淨。,medium,Family-常用3000單,brother;house;clean
91,sentence,My sister is kind.,我姊妹很親切。,medium,Family-常用3000單,sister;kind
92,sentence,My sister helps me at home.,我姊妹在家幫助我。,medium,Family-常用3000單,sister;help;home
93,sentence,My sister cooks dinner for us.,我姊妹為我們煮晚餐。,medium,Family-常用3000單,sister;cook;dinner
94,sentence,My sister talks with me every day.,我姊妹每天和我說話。,medium,Family-常用3000單,sister;talk;day
95,sentence,My sister keeps the house clean.,我姊妹保持家裡乾淨。,medium,Family-常用3000單,sister;house;clean
96,sentence,My relatives are kind.,我的親戚們很親切。,medium,Family-常用3000單,relatives;kind
97,sentence,My relatives help me at home.,我的親戚們在家幫助我。,medium,Family-常用3000單,relatives;help;home
98,sentence,My relatives cook dinner for us.,我的親戚們為我們煮晚餐。,medium,Family-常用3000單,relatives;cook;dinner
99,sentence,My relatives talk with me every day.,我的親戚們每天和我說話。,medium,Family-常用3000單,relatives;talk;day
